episode,scenario,steps,decisions,avg_reward,avg_queue,throughput
132,low_traffic,3626,127,-0.506,0.343,884
133,low_traffic,3603,129,-0.412,0.414,915
134,low_traffic,3633,116,-1.166,0.605,1113
135,low_traffic,3631,120,-0.568,0.502,931
136,low_traffic,3605,127,-0.759,0.422,959
137,low_traffic,3602,109,-0.337,0.445,859
138,low_traffic,3649,123,-0.351,0.396,948
139,low_traffic,3646,134,-0.553,0.44,932
140,low_traffic,3610,118,-0.408,0.405,994
141,low_traffic,3608,122,-0.758,0.45,936
142,low_traffic,3625,111,-0.358,0.449,947
143,low_traffic,3648,106,-0.294,0.421,911
144,low_traffic,3617,121,-0.44,0.49,891
145,low_traffic,3603,113,-0.678,0.655,994
146,low_traffic,3629,127,-0.726,0.549,938
147,low_traffic,3620,118,-0.463,0.419,932
148,low_traffic,3668,119,-0.493,0.446,937
149,low_traffic,3642,122,-0.488,0.348,892
150,low_traffic,3604,121,-0.668,0.463,919
151,normal,3604,114,-0.594,0.588,1051
152,low_traffic,3604,127,-0.44,0.382,895
153,low_traffic,3601,120,-0.586,0.43,966
154,low_traffic,3630,115,-0.554,0.422,910
155,normal,3618,120,-0.293,0.367,894
156,normal,3632,113,-0.51,0.415,960
157,low_traffic,3606,128,-0.663,0.384,854
158,normal,3622,119,-0.31,0.373,798
159,low_traffic,3604,125,-0.581,0.342,912
160,low_traffic,3663,121,-0.54,0.368,842
161,low_traffic,3616,125,-0.453,0.358,823
162,normal,3609,102,0.099,0.401,1009
163,low_traffic,3608,113,-0.226,0.347,886
164,normal,3636,109,-0.148,0.383,978
165,low_traffic,3600,119,-0.579,0.406,930
166,low_traffic,3602,115,-0.243,0.407,927
167,low_traffic,3621,116,-0.452,0.38,893
168,low_traffic,3615,116,-0.382,0.436,928
169,low_traffic,3601,119,-0.487,0.304,851
170,low_traffic,3601,119,-0.28,0.302,846
171,low_traffic,3610,104,-0.161,0.352,1058
172,normal,3609,110,-0.4,0.335,914
173,low_traffic,3626,111,-0.292,0.403,985
174,low_traffic,3601,104,-0.41,0.374,935
175,low_traffic,3600,116,-0.373,0.333,881
176,normal,3618,108,-0.374,0.433,988
177,low_traffic,3610,111,-0.157,0.414,860
178,normal,3639,115,-0.221,0.392,864
179,low_traffic,3637,117,-0.31,0.357,886
180,low_traffic,3622,124,-0.601,0.377,915
181,low_traffic,3636,123,-0.408,0.371,869
182,normal,3635,102,-0.149,0.439,1030
183,low_traffic,3611,125,-0.777,0.579,931
184,low_traffic,3646,134,-0.575,0.419,900
185,normal,3629,114,-0.216,0.393,941
186,normal,3613,112,-0.237,0.388,948
187,low_traffic,3640,126,-0.288,0.342,862
188,low_traffic,3603,120,-0.43,0.408,960
189,normal,3624,111,-0.523,0.406,965
190,low_traffic,3607,118,-0.242,0.428,926
191,low_traffic,3610,122,-0.511,0.344,883
192,low_traffic,3612,131,-0.618,0.354,921
193,normal,3606,119,-0.558,0.338,886
194,low_traffic,3622,118,-0.121,0.358,825
195,normal,3612,110,-0.271,0.351,963
196,normal,3611,110,-0.399,0.364,900
197,low_traffic,3631,128,-0.388,0.335,805
198,low_traffic,3608,113,-0.395,0.393,953
199,normal,3638,112,-0.508,0.507,900
200,low_traffic,3600,116,-0.506,0.459,930
201,low_traffic,3608,113,-0.478,0.395,975
202,low_traffic,3607,127,-0.485,0.415,844
203,normal,3653,113,-0.204,0.378,851
204,normal,3601,108,-0.112,0.405,872
205,normal,3639,113,-0.328,0.376,935
206,low_traffic,3632,117,-0.416,0.322,869
207,low_traffic,3641,130,-0.623,0.403,954
208,normal,3642,108,-0.148,0.345,954
209,low_traffic,3625,115,-0.262,0.364,872
210,low_traffic,3618,134,-0.626,0.388,967
211,low_traffic,3605,112,-0.181,0.357,817
212,low_traffic,3610,112,-0.429,0.397,901
213,normal,3621,106,-0.052,0.36,911
214,low_traffic,3610,118,-0.411,0.385,815
215,normal,3609,114,-0.282,0.411,1002
216,low_traffic,3613,116,-0.253,0.343,910
217,low_traffic,3613,122,-0.311,0.324,963
218,normal,3606,102,-0.173,0.475,1033
219,normal,3618,105,0.023,0.358,997
220,low_traffic,3621,114,-0.504,0.357,1061
221,normal,3614,117,-0.788,0.418,909
222,low_traffic,3653,106,-0.145,0.425,947
223,low_traffic,3617,124,-0.83,0.375,1006
224,low_traffic,3633,120,-0.469,0.352,914
225,low_traffic,3647,114,-0.301,0.381,1015
226,low_traffic,3624,108,-0.228,0.375,1020
227,low_traffic,3616,125,-0.715,0.395,931
228,normal,3601,127,-0.486,0.427,996
229,normal,3608,105,-0.021,0.387,1066
230,low_traffic,3656,119,-0.555,0.386,1064
231,low_traffic,3623,121,-0.353,0.344,957
232,normal,3630,103,-0.087,0.406,1029
233,normal,3600,117,-0.323,0.368,940
234,low_traffic,3613,100,-0.112,0.405,909
235,low_traffic,3633,107,-0.296,0.378,896
236,low_traffic,3617,109,-0.317,0.369,910
237,normal,3627,107,-0.187,0.36,913
238,low_traffic,3607,96,-0.229,0.57,1001
239,low_traffic,3646,109,0.035,0.363,935
240,normal,3622,119,-0.192,0.349,948
241,low_traffic,3603,109,-0.396,0.439,885
242,low_traffic,3614,126,-0.367,0.386,911
243,low_traffic,3624,108,-0.222,0.399,1070
