step,chosen_phase,time_pct,actual_seconds,north_count,north_wait_norm,north_ev,south_count,south_wait_norm,south_ev,cityhall_count,cityhall_wait_norm,cityhall_ev,brudger_count,brudger_wait_norm,brudger_ev,estanislao_count,estanislao_wait_norm,estanislao_ev,ped_exists,ped_wait_norm,weather,day_norm,time_of_day
973,1,0.261,23,1.000,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.478,0.000,0.000,0.000,-1.000,0.000,0.011
996,1,0.271,23,1.000,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.566,0.000,0.000,0.000,-1.000,0.000,0.011
1032,0,0.278,23,1.000,0.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.623,0.000,0.000,0.000,-1.000,0.000,0.011
1060,0,0.367,28,2.000,0.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.711,0.000,0.000,0.000,-1.000,0.000,0.012
1094,0,0.481,34,3.000,0.483,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.779,0.000,0.000,0.000,-1.000,0.000,0.012
1128,0,0.497,34,3.000,0.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.863,0.000,0.000,0.000,-1.000,0.000,0.013
1164,0,0.533,36,3.000,0.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.946,0.000,0.000,0.000,-1.000,0.000,0.013
1201,0,0.549,37,3.000,0.738,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.034,0.000,0.000,0.000,-1.000,0.000,0.013
1247,0,0.736,46,5.000,0.828,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.125,0.000,0.000,0.000,-1.000,0.000,0.014
1294,0,0.753,47,5.000,0.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.238,0.000,0.000,0.000,-1.000,0.000,0.014
1342,0,0.763,48,5.000,1.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.353,0.000,0.000,0.000,-1.000,0.000,0.015
1406,2,0.825,51,5.000,1.174,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,3.000,1.471,0.000,0.000,0.000,-1.000,0.000,0.015
1446,3,0.350,27,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.154,0.000,0.000,0.000,0.000,3.000,1.627,0.000,0.000,0.000,-1.000,0.000,0.016
1483,1,0.292,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.017
1507,1,0.292,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.017
1531,1,0.293,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.017
